Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN	sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN	2;2	2;2	2;2	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=3 SV=1	2	2	2	2	2.4	2.4	2.4	105.34	913	913;914	0	13.573	22062000	2				35	360;3911	True;True	360;3931	407;4585	489;5497	489;5497			-1;-1
tr|F8VZJ2|F8VZJ2_HUMAN;tr|H0YHX9|H0YHX9_HUMAN;sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN;tr|F8W1N5|F8W1N5_HUMAN;tr|F8VNW4|F8VNW4_HUMAN;tr|F8W0W4|F8W0W4_HUMAN;tr|F8VZ58|F8VZ58_HUMAN;sp|Q9BZK3|NACP4_HUMAN	tr|F8VZJ2|F8VZJ2_HUMAN;tr|H0YHX9|H0YHX9_HUMAN;sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN;tr|F8W1N5|F8W1N5_HUMAN;tr|F8VNW4|F8VNW4_HUMAN;tr|F8W0W4|F8W0W4_HUMAN	3;3;3;3;2;2;2;1;1	3;3;3;3;2;2;2;1;1	3;3;3;3;2;2;2;1;1	tr|F8VZJ2|F8VZJ2_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|H0YHX9|H0YHX9_HUMAN Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;sp|Q13765	9	3	3	3	33.8	33.8	33.8	15.016	136	136;213;215;2078;71;148;198;126;213	0	20.226	81920000	3				36	426;2804;5007	True;True;True	426;2816;5043	478;3247;5885	571;3881;7074	571;3881;7074			-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|O00139|KIF2A_HUMAN;tr|H0Y8H2|H0Y8H2_HUMAN;tr|D6R9M0|D6R9M0_HUMAN	sp|O00139|KIF2A_HUMAN	9;1;1	9;1;1	9;1;1	sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3	3	9	9	9	18.1	18.1	18.1	79.954	706	706;130;284	0	56.204	142930000	10				37	49;717;1620;2780;2781;3955;4044;5030;6367	True;True;True;True;True;True;True;True;True	49;719;1628;2792;2793;3976;4065;5066;6412	54;815;1870;1871;3220;3221;4638;4751;5914;7527	70;979;2234;2235;3848;3849;5563;5692;7109;9055	70;979;2235;3848;3849;5563;5692;7109;9055			-1;-1;-1
sp|O00154|BACH_HUMAN;tr|K7EKP8|K7EKP8_HUMAN	sp|O00154|BACH_HUMAN;tr|K7EKP8|K7EKP8_HUMAN	4;3	4;3	4;3	sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3;tr|K7EKP8|K7EKP8_HUMAN Cytosolic acyl coenzyme A thioester hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=8	2	4	4	4	13.2	13.2	13.2	41.796	380	380;279	0	31.528	101120000	7				38	3071;4719;6650;6651	True;True;True;True	3088;4746;6701;6702	3571;5529;7855;7856	4275;4276;6635;9448;9449;9450;9451;9452	4275;6635;9448;9451			-1;-1
tr|Q5VYD6|Q5VYD6_HUMAN;sp|O00165|HAX1_HUMAN	tr|Q5VYD6|Q5VYD6_HUMAN;sp|O00165|HAX1_HUMAN	1;1	1;1	1;1	tr|Q5VYD6|Q5VYD6_HUMAN HCLS1-associated protein X-1 (Fragment) OS=Homo sapiens OX=9606 GN=HAX1 PE=1 SV=1;sp|O00165|HAX1_HUMAN HCLS1-associated protein X-1 OS=Homo sapiens OX=9606 GN=HAX1 PE=1 SV=2	2	1	1	1	3.5	3.5	3.5	28.775	255	255;279	0.006566	6.0259	0	1				39	2086	True	2096	2395	2863	2863			-1;-1
sp|O00178|GTPB1_HUMAN	sp|O00178|GTPB1_HUMAN	2	2	2	sp|O00178|GTPB1_HUMAN GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3	1	2	2	2	5.2	5.2	5.2	72.453	669	669	0	11.47	9256600	1				40	4522;4617	True;True	4544;4640	5310;5417	6374;6505	6374;6505			-1
sp|O00217|NDUS8_HUMAN;tr|E9PKH6|E9PKH6_HUMAN;tr|E9PPW7|E9PPW7_HUMAN;tr|E9PN51|E9PN51_HUMAN;tr|F8W9K7|F8W9K7_HUMAN;tr|Q08E91|Q08E91_HUMAN	sp|O00217|NDUS8_HUMAN;tr|E9PKH6|E9PKH6_HUMAN;tr|E9PPW7|E9PPW7_HUMAN;tr|E9PN51|E9PN51_HUMAN;tr|F8W9K7|F8W9K7_HUMAN	4;3;3;2;2;1	4;3;3;2;2;1	4;3;3;2;2;1	sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1;tr|E9PKH6|E9PKH6_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment) OS=Homo sapiens OX	6	4	4	4	30	30	30	23.705	210	210;138;184;110;124;64	0	27.566	249800000	4				41	2236;2237;3735;4125	True;True;True;True	2247;2248;3755;4146	2564;2565;4358;4359;4849	3069;3070;5224;5225;5810	3069;3070;5225;5810			-1;-1;-1;-1;-1;-1
sp|O00231|PSD11_HUMAN;tr|J3QRY4|J3QRY4_HUMAN	sp|O00231|PSD11_HUMAN;tr|J3QRY4|J3QRY4_HUMAN	2;1	2;1	2;1	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3;tr|J3QRY4|J3QRY4_HUMAN 26S proteasome non-ATPase regulatory subunit 11 (Fragment) OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=8	2	2	2	2	5.2	5.2	5.2	47.463	422	422;187	0	13.927	24102000	4				42	3;4568	True;True	3;4590	3;5366	3;4;5;6447	4;6447			-1;-1
sp|O00232|PSD12_HUMAN	sp|O00232|PSD12_HUMAN	2	2	2	sp|O00232|PSD12_HUMAN 26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3	1	2	2	2	4.8	4.8	4.8	52.904	456	456	0	15.075	29078000	2				43	3857;4281	True;True	3877;4302	4513;5017	5403;6009	5403;6009			-1
sp|O00264|PGRC1_HUMAN	sp|O00264|PGRC1_HUMAN	2	2	2	sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	1	2	2	2	7.7	7.7	7.7	21.671	195	195	0	40.113	42345000	2				44	1987;3414	True;True	1997;3433	2283;3977	2734;4774	2734;4774			-1
tr|H0YDT6|H0YDT6_HUMAN;sp|O00303|EIF3F_HUMAN	tr|H0YDT6|H0YDT6_HUMAN;sp|O00303|EIF3F_HUMAN	1;1	1;1	1;1	tr|H0YDT6|H0YDT6_HUMAN Eukaryotic translation initiation factor 3 subunit F (Fragment) OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1;sp|O00303|EIF3F_HUMAN Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1	2	1	1	1	19	19	19	10.807	100	100;357	0.00083403	9.6688	16743000	1				45	3138	True	3156	3649	4372	4372			-1;-1
sp|O00330|ODPX_HUMAN;tr|H0YD97|H0YD97_HUMAN;tr|E9PLU0|E9PLU0_HUMAN;tr|E9PRI6|E9PRI6_HUMAN	sp|O00330|ODPX_HUMAN;tr|H0YD97|H0YD97_HUMAN	6;3;1;1	6;3;1;1	6;3;1;1	sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3;tr|H0YD97|H0YD97_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=1	4	6	6	6	14	14	14	54.122	501	501;189;151;182	0	62.102	314930000	6				46	2164;2178;2247;2663;6251;7484	True;True;True;True;True;True	2175;2189;2258;2675;6296;7540	2487;2501;2576;3085;7389;8864	2972;2986;3083;3690;8889;10706	2972;2986;3083;3690;8889;10706			-1;-1;-1;-1
tr|E9PEF1|E9PEF1_HUMAN;sp|O00408|PDE2A_HUMAN;tr|H0YFL1|H0YFL1_HUMAN;tr|H0YG13|H0YG13_HUMAN;tr|C9JPD5|C9JPD5_HUMAN;tr|H7C009|H7C009_HUMAN	tr|E9PEF1|E9PEF1_HUMAN;sp|O00408|PDE2A_HUMAN;tr|H0YFL1|H0YFL1_HUMAN	4;4;2;1;1;1	4;4;2;1;1;1	4;4;2;1;1;1	tr|E9PEF1|E9PEF1_HUMAN Phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE2A PE=1 SV=2;sp|O00408|PDE2A_HUMAN cGMP-dependent 3,5-cyclic phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE2A PE=1 SV=1;tr|H0YFL1|H0YFL1_HUMAN cGMP-dependent 3,5-cyclic phosphodie	6	4	4	4	5.3	5.3	5.3	93.623	826	826;941;336;172;197;327	0	25.166	42396000	6				47	649;996;2415;4139	True;True;True;True	651;1000;2427;4160	742;1155;2778;4864	894;895;896;1393;3320;5827	894;1393;3320;5827			-1;-1;-1;-1;-1;-1
sp|O00410|IPO5_HUMAN;tr|H0Y8C6|H0Y8C6_HUMAN;tr|C9J583|C9J583_HUMAN;tr|C9JZ53|C9JZ53_HUMAN;tr|F8WF30|F8WF30_HUMAN;tr|C9JXE0|C9JXE0_HUMAN;tr|C9J875|C9J875_HUMAN;tr|C9JQT6|C9JQT6_HUMAN;tr|C9JZD8|C9JZD8_HUMAN;tr|E7ETV8|E7ETV8_HUMAN;tr|E7ESZ1|E7ESZ1_HUMAN;tr|E7EWK4|E7EWK4_HUMAN;tr|E7EX05|E7EX05_HUMAN;tr|E7EV12|E7EV12_HUMAN;tr|E7EQT5|E7EQT5_HUMAN;tr|E7ETV3|E7ETV3_HUMAN	sp|O00410|IPO5_HUMAN;tr|H0Y8C6|H0Y8C6_HUMAN	5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1	5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1	5;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4;tr|H0Y8C6|H0Y8C6_HUMAN Importin-5 (Fragment) OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=1	16	5	5	5	8.4	8.4	8.4	123.63	1097	1097;1099;34;36;45;46;57;70;74;80;88;99;101;124;126;170	0	45.222	47338000	5				48	1;1879;4518;6540;7113	True;True;True;True;True	1;1889;4540;6588;7167	1;2152;5292;7729;8433	1;2568;6347;9293;10175	1;2568;6347;9293;10175			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|G8JLD5|G8JLD5_HUMAN;sp|O00429|DNM1L_HUMAN;tr|F8VZ52|F8VZ52_HUMAN;tr|B4DDQ3|B4DDQ3_HUMAN;tr|B4DPZ9|B4DPZ9_HUMAN;tr|F8VUJ9|F8VUJ9_HUMAN;tr|F8VR28|F8VR28_HUMAN;tr|F8VYL3|F8VYL3_HUMAN;tr|F8W1W3|F8W1W3_HUMAN;tr|H0YI79|H0YI79_HUMAN;tr|H0YHY4|H0YHY4_HUMAN	tr|G8JLD5|G8JLD5_HUMAN;sp|O00429|DNM1L_HUMAN	18;18;8;5;4;4;3;3;3;1;1	18;18;8;5;4;4;3;3;3;1;1	18;18;8;5;4;4;3;3;3;1;1	tr|G8JLD5|G8JLD5_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=1;sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2	11	18	18	18	41.2	41.2	41.2	79.621	712	712;736;261;180;156;172;97;117;168;48;54	0	216.23	729180000	22				49	452;863;1166;1821;2140;3099;3757;3891;3924;4270;4587;4647;6180;6205;6285;6578;6731;7731	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	453;866;1172;1830;2151;3116;3777;3911;3944;4291;4609;4671;6225;6250;6330;6627;6782;7788	506;507;995;1357;1358;2089;2090;2454;3601;4387;4388;4563;4600;5005;5385;5448;7309;7336;7427;7773;7962;9148	602;603;1198;1636;1637;2495;2496;2934;4309;5258;5259;5473;5515;5996;6470;6471;6545;8797;8829;8933;9346;9593;11057	603;1198;1636;2496;2934;4309;5258;5473;5515;5996;6470;6545;8797;8829;8933;9346;9593;11057			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|F8W9B8|F8W9B8_HUMAN;sp|O00471|EXOC5_HUMAN;tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN;tr|G3V377|G3V377_HUMAN;tr|G3V4Z7|G3V4Z7_HUMAN	tr|F8W9B8|F8W9B8_HUMAN;sp|O00471|EXOC5_HUMAN;tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN;tr|G3V377|G3V377_HUMAN;tr|G3V4Z7|G3V4Z7_HUMAN	2;2;2;1;1	2;2;2;1;1	2;2;2;1;1	tr|F8W9B8|F8W9B8_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1;sp|O00471|EXOC5_HUMAN Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1;tr|A0A0A0MSI8|A0A0A0MSI8_HUMAN Exocyst complex component 5 OS=Homo sa	5	2	2	2	4.7	4.7	4.7	74.34	643	643;708;711;44;62	0	111.44	5247400	2				50	671;3609	True;True	673;3628	765;4209	922;5038	922;5038			-1;-1;-1;-1;-1
sp|O00483|NDUA4_HUMAN	sp|O00483|NDUA4_HUMAN	2	2	2	sp|O00483|NDUA4_HUMAN Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1	1	2	2	2	22.2	22.2	22.2	9.3697	81	81	0	14.837	1896600000	4				51	1989;5120	True;True	1999;5158	2285;6043;6044	2736;2737;7267;7268	2736;7268			-1
tr|C9JW37|C9JW37_HUMAN;sp|O00487|PSDE_HUMAN	tr|C9JW37|C9JW37_HUMAN;sp|O00487|PSDE_HUMAN	1;1	1;1	1;1	tr|C9JW37|C9JW37_HUMAN 26S proteasome non-ATPase regulatory subunit 14 (Fragment) OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1;sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1	2	1	1	1	40.5	40.5	40.5	8.8333	84	84;310	0.00078927	7.4088	15575000	1				52	3888	True	3908	4560	5469	5469			-1;-1
sp|O00499|BIN1_HUMAN	sp|O00499|BIN1_HUMAN	16	16	14	sp|O00499|BIN1_HUMAN Myc box-dependent-interacting protein 1 OS=Homo sapiens OX=9606 GN=BIN1 PE=1 SV=1	1	16	16	14	35.8	35.8	34.2	64.699	593	593	0	137.66	1051000000	21				53	61;122;225;1570;2421;2546;2724;2736;3517;3893;4260;4491;4494;7026;7059;7345	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	61;122;225;1578;2433;2558;2736;2748;3536;3913;4281;4513;4516;7080;7113;7400	66;137;258;1816;2785;2936;3159;3171;4107;4565;4993;5261;5262;5266;8323;8324;8365;8706;8707	87;173;174;317;2168;2169;3327;3512;3774;3789;4927;5475;5983;6310;6311;6315;10040;10041;10093;10511;10512	87;174;317;2168;3327;3512;3774;3789;4927;5475;5983;6310;6315;10040;10093;10512			-1
tr|C9JDH9|C9JDH9_HUMAN;tr|C9J6L2|C9J6L2_HUMAN;tr|C9JCC0|C9JCC0_HUMAN;tr|C9J232|C9J232_HUMAN;tr|H7C279|H7C279_HUMAN;tr|H0Y630|H0Y630_HUMAN;tr|B4DR80|B4DR80_HUMAN;sp|O00506|STK25_HUMAN;sp|Q9Y6E0|STK24_HUMAN	tr|C9JDH9|C9JDH9_HUMAN;tr|C9J6L2|C9J6L2_HUMAN;tr|C9JCC0|C9JCC0_HUMAN;tr|C9J232|C9J232_HUMAN;tr|H7C279|H7C279_HUMAN;tr|H0Y630|H0Y630_HUMAN;tr|B4DR80|B4DR80_HUMAN;sp|O00506|STK25_HUMAN;sp|Q9Y6E0|STK24_HUMAN	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	tr|C9JDH9|C9JDH9_HUMAN Serine/threonine-protein kinase 25 (Fragment) OS=Homo sapiens OX=9606 GN=STK25 PE=1 SV=1;tr|C9J6L2|C9J6L2_HUMAN Serine/threonine-protein kinase 25 (Fragment) OS=Homo sapiens OX=9606 GN=STK25 PE=1 SV=1;tr|C9JCC0|C9JCC0_HUMAN Serine/th	9	1	1	1	10.8	10.8	10.8	16.366	148	148;161;163;177;247;369;412;426;443	0.0008058	7.9141	23102000	1				54	5191	True	5231	6125	7365	7365			-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|O00562|PITM1_HUMAN	sp|O00562|PITM1_HUMAN	1	1	1	sp|O00562|PITM1_HUMAN Membrane-associated phosphatidylinositol transfer protein 1 OS=Homo sapiens OX=9606 GN=PITPNM1 PE=1 SV=4	1	1	1	1	1.5	1.5	1.5	134.85	1244	1244	0.0021739	6.5882	10565000	1				55	6114	True	6159	7227	8696	8696			-1
tr|A0A0D9SF53|A0A0D9SF53_HUMAN;tr|A0A0D9SG12|A0A0D9SG12_HUMAN;tr|A0A2R8Y645|A0A2R8Y645_HUMAN;sp|O00571|DDX3X_HUMAN;tr|A0A2R8Y4A4|A0A2R8Y4A4_HUMAN;tr|A0A2R8YFS5|A0A2R8YFS5_HUMAN;tr|A0A2U3TZJ9|A0A2U3TZJ9_HUMAN;tr|A0A2R8YFR4|A0A2R8YFR4_HUMAN;tr|A0A2R8YCW1|A0A2R8YCW1_HUMAN;tr|A0A2R8YF78|A0A2R8YF78_HUMAN;tr|A0A0D9SFB3|A0A0D9SFB3_HUMAN;tr|A0A2R8Y5G6|A0A2R8Y5G6_HUMAN;tr|A0A2R8Y7T2|A0A2R8Y7T2_HUMAN;tr|A0A2R8YDT5|A0A2R8YDT5_HUMAN;tr|F6S8Q4|F6S8Q4_HUMAN;sp|O15523|DDX3Y_HUMAN;tr|A0A2R8YDH3|A0A2R8YDH3_HUMAN;tr|A0A0J9YVQ7|A0A0J9YVQ7_HUMAN;tr|A0A087WVZ1|A0A087WVZ1_HUMAN	tr|A0A0D9SF53|A0A0D9SF53_HUMAN;tr|A0A0D9SG12|A0A0D9SG12_HUMAN;tr|A0A2R8Y645|A0A2R8Y645_HUMAN;sp|O00571|DDX3X_HUMAN;tr|A0A2R8Y4A4|A0A2R8Y4A4_HUMAN;tr|A0A2R8YFS5|A0A2R8YFS5_HUMAN;tr|A0A2U3TZJ9|A0A2U3TZJ9_HUMAN;tr|A0A2R8YFR4|A0A2R8YFR4_HUMAN;tr|A0A2R8YCW1|A0A2R8YCW1_HUMAN;tr|A0A2R8YF78|A0A2R8YF78_HUMAN;tr|A0A0D9SFB3|A0A0D9SFB3_HUMAN;tr|A0A2R8Y5G6|A0A2R8Y5G6_HUMAN;tr|A0A2R8Y7T2|A0A2R8Y7T2_HUMAN;tr|A0A2R8YDT5|A0A2R8YDT5_HUMAN;tr|F6S8Q4|F6S8Q4_HUMAN;sp|O15523|DDX3Y_HUMAN;tr|A0A2R8YDH3|A0A2R8YDH3_HUMAN;tr|A0A0J9YVQ7|A0A0J9YVQ7_HUMAN	6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4;4;3;2	6;6;6;6;6;6;6;6;6;6;6;6;6;6;5;4;4;3;2	5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;3;3;3;2	tr|A0A0D9SF53|A0A0D9SF53_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=1;tr|A0A0D9SG12|A0A0D9SG12_HUMAN ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=1;tr|A0A2R8Y645|A0A2R8Y645_HUMAN ATP-depende	19	6	6	5	9.5	9.5	8	81.476	733	733;647;716;662;662;661;661;660;647;641;640;622;476;475;629;660;503;222;189	0	38.635	91381000	6				56	1044;1416;4755;5841;7077;7084	True;True;True;True;True;True	1048;1423;4784;5883;7131;7138	1209;1648;5570;6906;8388;8397	1454;1970;6685;8289;10121;10132	1454;1970;6685;8289;10121;10132			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|O00629|IMA3_HUMAN	sp|O00629|IMA3_HUMAN	1	1	1	sp|O00629|IMA3_HUMAN Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1	1	1	1	1	1.9	1.9	1.9	57.886	521	521	0.0034176	6.2645	0	1				57	139	True	139	163	202	202			-1
sp|O00743|PPP6_HUMAN	sp|O00743|PPP6_HUMAN	1	1	1	sp|O00743|PPP6_HUMAN Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1	1	1	1	1	4.3	4.3	4.3	35.144	305	305	0.00077821	7.1908	12209000	2				58	532	True	534	604	729;730	730			-1
sp|O14490|DLGP1_HUMAN;tr|Q6IS01|Q6IS01_HUMAN;tr|A8MYR7|A8MYR7_HUMAN;tr|A8MXQ8|A8MXQ8_HUMAN;tr|A0A0A0MTP4|A0A0A0MTP4_HUMAN;tr|A0A0J9YVY4|A0A0J9YVY4_HUMAN	sp|O14490|DLGP1_HUMAN;tr|Q6IS01|Q6IS01_HUMAN;tr|A8MYR7|A8MYR7_HUMAN;tr|A8MXQ8|A8MXQ8_HUMAN;tr|A0A0A0MTP4|A0A0A0MTP4_HUMAN	4;3;3;3;3;1	3;2;3;3;3;0	3;2;3;3;3;0	sp|O14490|DLGP1_HUMAN Disks large-associated protein 1 OS=Homo sapiens OX=9606 GN=DLGAP1 PE=1 SV=1;tr|Q6IS01|Q6IS01_HUMAN DLGAP1 protein OS=Homo sapiens OX=9606 GN=DLGAP1 PE=1 SV=1;tr|A8MYR7|A8MYR7_HUMAN Discs, large (Drosophila) homolog-associated protein	6	4	3	3	4.9	4.1	4.1	108.87	977	977;543;667;693;699;400	0	20.801	43675000	6				59	2043;2612;5976;6359	True;False;True;True	2053;2624;6018;6404	2347;3015;7068;7518	2808;3603;8509;8510;8511;8512;9043	2808;3603;8509;9043			-1;-1;-1;-1;-1;-1
sp|O14495|PLPP3_HUMAN;tr|A0A286YF41|A0A286YF41_HUMAN;tr|A0A286YEZ7|A0A286YEZ7_HUMAN;tr|A0A286YES4|A0A286YES4_HUMAN	sp|O14495|PLPP3_HUMAN;tr|A0A286YF41|A0A286YF41_HUMAN;tr|A0A286YEZ7|A0A286YEZ7_HUMAN;tr|A0A286YES4|A0A286YES4_HUMAN	2;1;1;1	2;1;1;1	2;1;1;1	sp|O14495|PLPP3_HUMAN Phospholipid phosphatase 3 OS=Homo sapiens OX=9606 GN=PLPP3 PE=1 SV=1;tr|A0A286YF41|A0A286YF41_HUMAN Uncharacterized protein (Fragment) OS=Homo sapiens OX=9606 PE=4 SV=1;tr|A0A286YEZ7|A0A286YEZ7_HUMAN Uncharacterized protein (Fragment	4	2	2	2	7.4	7.4	7.4	35.116	311	311;94;145;224	0	11.521	31593000	3				60	1391;4983	True;True	1398;5019	1618;5859	1934;1935;7041	1935;7041			-1;-1;-1;-1
sp|O14523|C2C2L_HUMAN	sp|O14523|C2C2L_HUMAN	1	1	1	sp|O14523|C2C2L_HUMAN Phospholipid transfer protein C2CD2L OS=Homo sapiens OX=9606 GN=C2CD2L PE=1 SV=3	1	1	1	1	1.1	1.1	1.1	76.18	706	706	0.0027972	6.366	13697000	1				61	440	True	441	494	587	587			-1
tr|B1AJS1|B1AJS1_HUMAN;sp|O14525|ASTN1_HUMAN	tr|B1AJS1|B1AJS1_HUMAN;sp|O14525|ASTN1_HUMAN	7;7	7;7	7;7	tr|B1AJS1|B1AJS1_HUMAN Astrotactin-1 OS=Homo sapiens OX=9606 GN=ASTN1 PE=1 SV=1;sp|O14525|ASTN1_HUMAN Astrotactin-1 OS=Homo sapiens OX=9606 GN=ASTN1 PE=2 SV=3	2	7	7	7	11.2	11.2	11.2	136.48	1228	1228;1302	0	56.385	72090000	7				62	1508;1554;2081;4625;5761;5943;7737	True;True;True;True;True;True;True	1516;1562;2091;4648;5803;5985;7794	1751;1799;2389;5425;6818;7033;9154	2089;2150;2856;6520;8187;8465;8466;11063;11064	2089;2150;2856;6520;8187;8465;11064			-1;-1
sp|O14531|DPYL4_HUMAN;tr|Q5T0Q6|Q5T0Q6_HUMAN	sp|O14531|DPYL4_HUMAN;tr|Q5T0Q6|Q5T0Q6_HUMAN	4;2	4;2	4;2	sp|O14531|DPYL4_HUMAN Dihydropyrimidinase-related protein 4 OS=Homo sapiens OX=9606 GN=DPYSL4 PE=1 SV=2;tr|Q5T0Q6|Q5T0Q6_HUMAN Dihydropyrimidinase-related protein 4 OS=Homo sapiens OX=9606 GN=DPYSL4 PE=1 SV=1	2	4	4	4	12.4	12.4	12.4	61.877	572	572;412	0	36.085	74698000	3				63	2455;3645;5054;6492	True;True;True;True	2467;3664;5090;6540	2833;4249;5964;7678	3390;5084;7173;9236	3390;5084;7173;9236			-1;-1
sp|O14548|COX7R_HUMAN;tr|E5RJZ1|E5RJZ1_HUMAN;tr|H0YBD2|H0YBD2_HUMAN	sp|O14548|COX7R_HUMAN;tr|E5RJZ1|E5RJZ1_HUMAN;tr|H0YBD2|H0YBD2_HUMAN	2;1;1	2;1;1	2;1;1	sp|O14548|COX7R_HUMAN Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2L PE=1 SV=2;tr|E5RJZ1|E5RJZ1_HUMAN Cytochrome c oxidase subunit 7A-related protein, mitochondrial OS=Homo sapiens OX=9606 GN=COX7A2L PE=1 	3	2	2	2	14.9	14.9	14.9	12.615	114	114;79;95	0.00085837	11.155	67111000	2				64	2250;5031	True;True	2261;5067	2579;5915	3087;7110	3087;7110			-1;-1;-1
