Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
sp|O43678|NDUA2_HUMAN;sp|A6NJG2|SWAHD_HUMAN	sp|O43678|NDUA2_HUMAN;sp|A6NJG2|SWAHD_HUMAN	1;1	1;1	1;1	sp|O43678|NDUA2_HUMAN NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3;sp|A6NJG2|SWAHD_HUMAN Ankyrin repeat domain-containing protein SOWAHD OS=Homo sapiens OX=9606 GN=SOWAHD PE=2 SV=1	2	1	1	1	7.1	7.1	7.1	10.921	99	99;315	0.0015209	6.293	74620000	1				35	3	TRUE	3	3	4	4			-1;-1	0	0	0	0	0	11.2	0	0	0
sp|A6NL88|SHSA7_HUMAN;tr|H7C1N4|H7C1N4_HUMAN	sp|A6NL88|SHSA7_HUMAN	4;1	4;1	4;1	sp|A6NL88|SHSA7_HUMAN Protein shisa-7 OS=Homo sapiens OX=9606 GN=SHISA7 PE=2 SV=3	2	4	4	4	8.9	8.9	8.9	56.213	538	538;153	0	25.877	16669000	4				36	395;2674;2715;3334	True;True;True;True	401;2723;2765;3392	482;3256;3304;4041	577;4018;4074;4999	577;4018;4074;4999			-1;-1	6	0	0	14.2	20.1	14.2	20.1	32.8	20.1
sp|A7KAX9|RHG32_HUMAN	sp|A7KAX9|RHG32_HUMAN	1	1	1	sp|A7KAX9|RHG32_HUMAN Rho GTPase-activating protein 32 OS=Homo sapiens OX=9606 GN=ARHGAP32 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	230.53	2087	2087	0	12.631	3417700	1				37	3502	TRUE	3575	4253	5245	5245			-1	12.8	7.5	0	12.8	12.8	12.8	12.8	12.8	12.8
tr|A0A0C4DGT7|A0A0C4DGT7_HUMAN;sp|A7XYQ1|SOBP_HUMAN	tr|A0A0C4DGT7|A0A0C4DGT7_HUMAN;sp|A7XYQ1|SOBP_HUMAN	1;1	1;1	1;1	tr|A0A0C4DGT7|A0A0C4DGT7_HUMAN Sine oculis-binding protein homolog OS=Homo sapiens OX=9606 GN=SOBP PE=4 SV=1;sp|A7XYQ1|SOBP_HUMAN Sine oculis-binding protein homolog OS=Homo sapiens OX=9606 GN=SOBP PE=1 SV=2	2	1	1	1	5.4	5.4	5.4	16.546	149	149;873	0.0087542	5.7606	62764000	1				38	173	TRUE	175	222	268	268	2	4	-1;-1	1.3	2.6	1.3	2.6	2.6	2.6	2.6	1.3	2.6
sp|A8MVW0|F1712_HUMAN	sp|A8MVW0|F1712_HUMAN	2	2	2	sp|A8MVW0|F1712_HUMAN Protein FAM171A2 OS=Homo sapiens OX=9606 GN=FAM171A2 PE=1 SV=1	1	2	2	2	4.7	4.7	4.7	87.434	826	826	0	15.056	14441000	3				39	2702;3104	True;True	2752;3159	3288;3756	4055;4056;4639	4056;4639			-1	67.1	88.4	78.8	71.9	60.3	81.5	67.1	67.1	76.7
sp|C9J069|AJM1_HUMAN	sp|C9J069|AJM1_HUMAN	1	1	1	sp|C9J069|AJM1_HUMAN Apical junction component 1 homolog OS=Homo sapiens OX=9606 GN=AJM1 PE=3 SV=1	1	1	1	1	1	1	1	106.65	976	976	0.0029283	6.1574	5625500	1				40	4925	TRUE	5038	6066	7471	7471			-1	16.4	10.4	16.4	16.4	16.4	16.4	16.4	25	25
tr|F8W1N5|F8W1N5_HUMAN;tr|F8VZJ2|F8VZJ2_HUMAN;tr|F8VNW4|F8VNW4_HUMAN;tr|F8W0W4|F8W0W4_HUMAN;tr|H0YHX9|H0YHX9_HUMAN;sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN	tr|F8W1N5|F8W1N5_HUMAN;tr|F8VZJ2|F8VZJ2_HUMAN;tr|F8VNW4|F8VNW4_HUMAN;tr|F8W0W4|F8W0W4_HUMAN;tr|H0YHX9|H0YHX9_HUMAN;sp|Q13765|NACA_HUMAN;sp|E9PAV3|NACAM_HUMAN	2;2;2;2;2;2;2	2;2;2;2;2;2;2	2;2;2;2;2;2;2	tr|F8W1N5|F8W1N5_HUMAN Nascent polypeptide-associated complex subunit alpha (Fragment) OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8VZJ2|F8VZJ2_HUMAN Nascent polypeptide-associated complex subunit alpha OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1;tr|F8VNW4	7	2	2	2	40.8	40.8	40.8	7.813	71	71;136;148;198;213;215;2078	0	47.292	28417000	2				41	2101;4604	True;True	2133;4715	2498;5684	3076;7010	3076;7010			-1;-1;-1;-1;-1;-1;-1	35.7	29.8	40.1	34.6	41.2	45.6	45.6	45.6	45.6
sp|L0R6Q1|S35U4_HUMAN	sp|L0R6Q1|S35U4_HUMAN	1	1	1	sp|L0R6Q1|S35U4_HUMAN SLC35A4 upstream open reading frame protein OS=Homo sapiens OX=9606 GN=SLC35A4 PE=3 SV=1	1	1	1	1	8.7	8.7	8.7	11.133	103	103	0.0029455	6.177	16629000	1				42	105	TRUE	105	127	154	154			-1	40.1	37.7	45.5	48.8	40.1	48.8	48.8	48.8	48.1
sp|O00139|KIF2A_HUMAN;tr|H0Y8H2|H0Y8H2_HUMAN;tr|D6R9M0|D6R9M0_HUMAN	sp|O00139|KIF2A_HUMAN	5;1;1	5;1;1	5;1;1	sp|O00139|KIF2A_HUMAN Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3	3	5	5	5	9.2	9.2	9.2	79.954	706	706;130;284	0	37.519	26968000	7				43	58;2082;3146;4871;5567	True;True;True;True;True	58;2114;3202;4984;5692	68;2479;3806;6001;6877;6878	78;3056;4697;7397;7398;8501;8502;8503	78;3056;4697;7397;8501			-1;-1;-1	28	22.9	22.9	17.2	22.9	22.2	28	28	28
tr|K7EKP8|K7EKP8_HUMAN;sp|O00154|BACH_HUMAN	tr|K7EKP8|K7EKP8_HUMAN;sp|O00154|BACH_HUMAN	2;2	2;2	2;2	tr|K7EKP8|K7EKP8_HUMAN Cytosolic acyl coenzyme A thioester hydrolase (Fragment) OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=8;sp|O00154|BACH_HUMAN Cytosolic acyl coenzyme A thioester hydrolase OS=Homo sapiens OX=9606 GN=ACOT7 PE=1 SV=3	2	2	2	2	10	10	10	30.792	279	279;380	0	14.141	20093000	2				44	3482;5099	True;True	3550;5215	4222;6274	5208;7731	5208;7731			-1;-1	2.5	3.9	6.4	13.4	6.4	6.4	13.4	13.4	13.4
tr|H3BNE1|H3BNE1_HUMAN;tr|H3BR18|H3BR18_HUMAN;tr|H3BM38|H3BM38_HUMAN;tr|H3BPJ0|H3BPJ0_HUMAN;sp|O00161|SNP23_HUMAN	tr|H3BNE1|H3BNE1_HUMAN;tr|H3BR18|H3BR18_HUMAN;tr|H3BM38|H3BM38_HUMAN;tr|H3BPJ0|H3BPJ0_HUMAN;sp|O00161|SNP23_HUMAN	1;1;1;1;1	1;1;1;1;1	1;1;1;1;1	tr|H3BNE1|H3BNE1_HUMAN Synaptosomal-associated protein 23 OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1;tr|H3BR18|H3BR18_HUMAN Synaptosomal-associated protein (Fragment) OS=Homo sapiens OX=9606 GN=SNAP23 PE=1 SV=1;tr|H3BM38|H3BM38_HUMAN Synaptosomal-associat	5	1	1	1	14.4	14.4	14.4	11.14	97	97;109;125;127;211	0.00094518	9.3817	0	1				45	2263	TRUE	2295	2723	3363	3363			-1;-1;-1;-1;-1	4.8	4.8	0	4.8	4.8	4.8	0	4.8	4.8
sp|O00168|PLM_HUMAN;tr|K7EQG4|K7EQG4_HUMAN	sp|O00168|PLM_HUMAN;tr|K7EQG4|K7EQG4_HUMAN	1;1	1;1	1;1	sp|O00168|PLM_HUMAN Phospholemman OS=Homo sapiens OX=9606 GN=FXYD1 PE=1 SV=2;tr|K7EQG4|K7EQG4_HUMAN FXYD domain-containing ion transport regulator (Fragment) OS=Homo sapiens OX=9606 GN=FXYD1 PE=1 SV=2	2	1	1	1	13	13	13	10.441	92	92;115	0	18.127	48808000	2				46	4941	TRUE	5054	6085	7496;7497	7497			-1;-1	0	0	0	5.8	0	0	0	5.8	5.8
sp|O00194|RB27B_HUMAN;tr|K7ES41|K7ES41_HUMAN	sp|O00194|RB27B_HUMAN;tr|K7ES41|K7ES41_HUMAN	2;1	2;1	2;1	sp|O00194|RB27B_HUMAN Ras-related protein Rab-27B OS=Homo sapiens OX=9606 GN=RAB27B PE=1 SV=4;tr|K7ES41|K7ES41_HUMAN Ras-related protein Rab-27B (Fragment) OS=Homo sapiens OX=9606 GN=RAB27B PE=1 SV=1	2	2	2	2	13.3	13.3	13.3	24.608	218	218;87	0	16.469	30801000	4				47	2950;5943	True;True	3003;6070	3584;7326	4425;9056;9057;9058	4425;9057			-1;-1	2.9	7.5	7.5	12.7	12.7	12.7	12.7	12.7	12.7
sp|O00217|NDUS8_HUMAN;tr|E9PKH6|E9PKH6_HUMAN;tr|E9PPW7|E9PPW7_HUMAN;tr|Q08E91|Q08E91_HUMAN;tr|E9PN51|E9PN51_HUMAN;tr|F8W9K7|F8W9K7_HUMAN	sp|O00217|NDUS8_HUMAN;tr|E9PKH6|E9PKH6_HUMAN;tr|E9PPW7|E9PPW7_HUMAN	3;2;2;1;1;1	3;2;2;1;1;1	3;2;2;1;1;1	"sp|O00217|NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1;tr|E9PKH6|E9PKH6_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial (Fragment) OS=Homo sapiens OX"	6	3	3	3	24.8	24.8	24.8	23.705	210	210;138;184;64;110;124	0	44.154	138950000	5				48	1210;2752;3020	True;True;True	1228;2803;3073	1458;3349;3350;3663	1772;4135;4136;4524;4525	1772;4136;4525			-1;-1;-1;-1;-1;-1	0	3.8	3.8	6.4	6.4	6.4	6.4	6.4	6.4
sp|O00231|PSD11_HUMAN;tr|J3QRY4|J3QRY4_HUMAN	sp|O00231|PSD11_HUMAN;tr|J3QRY4|J3QRY4_HUMAN	2;1	2;1	2;1	sp|O00231|PSD11_HUMAN 26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3;tr|J3QRY4|J3QRY4_HUMAN 26S proteasome non-ATPase regulatory subunit 11 (Fragment) OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=8	2	2	2	2	6.2	6.2	6.2	47.463	422	422;187	0	13.294	11854000	2				49	4;2307	True;True	4;2341	4;2772	5;3424	5;3424			-1;-1	0	5.9	0	13.9	13.9	11.2	13.9	13.9	13.9
sp|O00264|PGRC1_HUMAN	sp|O00264|PGRC1_HUMAN	2	2	2	sp|O00264|PGRC1_HUMAN Membrane-associated progesterone receptor component 1 OS=Homo sapiens OX=9606 GN=PGRMC1 PE=1 SV=3	1	2	2	2	8.2	8.2	8.2	21.671	195	195	0	11.475	73946000	2				50	756;2272	True;True	769;2305	917;2734	1117;3376	1117;3376			-1	3	3	3	14	9	16.9	9	9	12
sp|O00305|CACB4_HUMAN;tr|A0A1B0GTF6|A0A1B0GTF6_HUMAN;tr|A0A1B0GUK4|A0A1B0GUK4_HUMAN;tr|A0A1B0GVB2|A0A1B0GVB2_HUMAN;tr|A0A1B0GTS4|A0A1B0GTS4_HUMAN;tr|A0A1B0GU53|A0A1B0GU53_HUMAN;tr|A0A1B0GWF9|A0A1B0GWF9_HUMAN;tr|E7EN11|E7EN11_HUMAN;tr|A0A1B0GTA9|A0A1B0GTA9_HUMAN;tr|A0A1B0GTN8|A0A1B0GTN8_HUMAN;tr|A0A1B0GXG0|A0A1B0GXG0_HUMAN;tr|H0Y476|H0Y476_HUMAN;tr|A0A1C7CYX2|A0A1C7CYX2_HUMAN;tr|A0A1B0GTX2|A0A1B0GTX2_HUMAN;tr|A0A1B0GTK1|A0A1B0GTK1_HUMAN;tr|A0A1B0GTX8|A0A1B0GTX8_HUMAN;tr|A0A1B0GTP6|A0A1B0GTP6_HUMAN;tr|A0A1B0GVF0|A0A1B0GVF0_HUMAN;tr|A0A1B0GVP7|A0A1B0GVP7_HUMAN;tr|A0A1B0GTN2|A0A1B0GTN2_HUMAN;tr|A0A1B0GU05|A0A1B0GU05_HUMAN;tr|A0A1B0GW58|A0A1B0GW58_HUMAN;tr|C9J224|C9J224_HUMAN;tr|A0A1B0GVG1|A0A1B0GVG1_HUMAN;tr|A0A1B0GTX6|A0A1B0GTX6_HUMAN;tr|A0A1B0GUU8|A0A1B0GUU8_HUMAN;tr|A0A1B0GWG5|A0A1B0GWG5_HUMAN;tr|A0A1B0GUK3|A0A1B0GUK3_HUMAN;tr|E7DBM8|E7DBM8_HUMAN;tr|A0A1B0GUW8|A0A1B0GUW8_HUMAN;tr|A0A1B0GVT6|A0A1B0GVT6_HUMAN;tr|A0A1B0GTH0|A0A1B0GTH0_HUMAN;tr|A0A1B0GUI8|A0A1B0GUI8_HUMAN;tr|A0A1B0GW63|A0A1B0GW63_HUMAN;tr|A0A1B0GUI5|A0A1B0GUI5_HUMAN;tr|A0A1B0GV16|A0A1B0GV16_HUMAN;tr|A0A1B0GUM9|A0A1B0GUM9_HUMAN	sp|O00305|CACB4_HUMAN;tr|A0A1B0GTF6|A0A1B0GTF6_HUMAN;tr|A0A1B0GUK4|A0A1B0GUK4_HUMAN;tr|A0A1B0GVB2|A0A1B0GVB2_HUMAN;tr|A0A1B0GTS4|A0A1B0GTS4_HUMAN;tr|A0A1B0GU53|A0A1B0GU53_HUMAN;tr|A0A1B0GWF9|A0A1B0GWF9_HUMAN;tr|E7EN11|E7EN11_HUMAN;tr|A0A1B0GTA9|A0A1B0GTA9_HUMAN;tr|A0A1B0GTN8|A0A1B0GTN8_HUMAN;tr|A0A1B0GXG0|A0A1B0GXG0_HUMAN;tr|H0Y476|H0Y476_HUMAN;tr|A0A1C7CYX2|A0A1C7CYX2_HUMAN;tr|A0A1B0GTX2|A0A1B0GTX2_HUMAN;tr|A0A1B0GTK1|A0A1B0GTK1_HUMAN;tr|A0A1B0GTX8|A0A1B0GTX8_HUMAN;tr|A0A1B0GTP6|A0A1B0GTP6_HUMAN;tr|A0A1B0GVF0|A0A1B0GVF0_HUMAN;tr|A0A1B0GVP7|A0A1B0GVP7_HUMAN;tr|A0A1B0GTN2|A0A1B0GTN2_HUMAN;tr|A0A1B0GU05|A0A1B0GU05_HUMAN;tr|A0A1B0GW58|A0A1B0GW58_HUMAN;tr|C9J224|C9J224_HUMAN;tr|A0A1B0GVG1|A0A1B0GVG1_HUMAN;tr|A0A1B0GTX6|A0A1B0GTX6_HUMAN;tr|A0A1B0GUU8|A0A1B0GUU8_HUMAN;tr|A0A1B0GWG5|A0A1B0GWG5_HUMAN;tr|A0A1B0GUK3|A0A1B0GUK3_HUMAN;tr|E7DBM8|E7DBM8_HUMAN;tr|A0A1B0GUW8|A0A1B0GUW8_HUMAN;tr|A0A1B0GVT6|A0A1B0GVT6_HUMAN;tr|A0A1B0GTH0|A0A1B0GTH0_HUMAN;tr|A0A1B0GUI8|A0A1B0GUI8_HUMAN;tr|A0A1B0GW63|A0A1B0GW63_HUMAN;tr|A0A1B0GUI5|A0A1B0GUI5_HUMAN;tr|A0A1B0GV16|A0A1B0GV16_HUMAN;tr|A0A1B0GUM9|A0A1B0GUM9_HUMAN	2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	sp|O00305|CACB4_HUMAN Voltage-dependent L-type calcium channel subunit beta-4 OS=Homo sapiens OX=9606 GN=CACNB4 PE=1 SV=2;tr|A0A1B0GTF6|A0A1B0GTF6_HUMAN Voltage-dependent L-type calcium channel subunit beta-4 OS=Homo sapiens OX=9606 GN=CACNB4 PE=1 SV=1;tr|	37	2	1	1	5.8	3.5	3.5	58.169	520	520;445;392;393;411;424;341;441;452;461;472;473;479;490;423;410;363;351;79;110;323;124;125;168;180;194;194;202;207;215;219;232;256;272;307;307;334	0.0015361	6.349	5921700	1				51	4692;4699	True;False	4803;4810	5790;5797	7146;7156;7157	7146;7156			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	35.2	41.2	28.6	38.7	38.7	35.2	38.7	38.7	38.7
sp|O00330|ODPX_HUMAN;tr|E9PLU0|E9PLU0_HUMAN;tr|E9PRI6|E9PRI6_HUMAN;tr|H0YD97|H0YD97_HUMAN	sp|O00330|ODPX_HUMAN	4;1;1;1	4;1;1;1	4;1;1;1	"sp|O00330|ODPX_HUMAN Pyruvate dehydrogenase protein X component, mitochondrial OS=Homo sapiens OX=9606 GN=PDHX PE=1 SV=3"	4	4	4	4	10.4	10.4	10.4	54.122	501	501;151;182;189	0	29.089	123250000	5				52	1685;2004;4771;5806	True;True;True;True	1711;2036;4882;5933	2018;2391;5881;7161	2480;2950;7254;7255;8860	2480;2950;7254;8860			-1;-1;-1;-1	20.2	33.8	14.9	36.1	36.1	42.4	36.1	42.4	42.4
tr|E9PEF1|E9PEF1_HUMAN;sp|O00408|PDE2A_HUMAN;tr|H0YFL1|H0YFL1_HUMAN;tr|C9JPD5|C9JPD5_HUMAN;tr|H0YG13|H0YG13_HUMAN;tr|F5GXX2|F5GXX2_HUMAN;tr|H7C009|H7C009_HUMAN	tr|E9PEF1|E9PEF1_HUMAN;sp|O00408|PDE2A_HUMAN;tr|H0YFL1|H0YFL1_HUMAN	6;6;3;2;1;1;1	6;6;3;2;1;1;1	6;6;3;2;1;1;1	"tr|E9PEF1|E9PEF1_HUMAN Phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE2A PE=1 SV=2;sp|O00408|PDE2A_HUMAN cGMP-dependent 3,5-cyclic phosphodiesterase OS=Homo sapiens OX=9606 GN=PDE2A PE=1 SV=1;tr|H0YFL1|H0YFL1_HUMAN cGMP-dependent 3,5-cyclic phosphodie"	7	6	6	6	10.4	10.4	10.4	93.623	826	826;941;336;197;172;178;327	0	36.171	59536000	7				53	565;1877;1889;2345;3370;4663	True;True;True;True;True;True	574;1906;1918;2383;3429;4774	681;2241;2253;2821;4090;5753	815;2762;2775;3483;5053;5054;7091	815;2762;2775;3483;5053;7091			-1;-1;-1;-1;-1;-1;-1	21.9	34.2	23.2	55.8	52.9	52.9	52.9	60.3	60.3
sp|O00410|IPO5_HUMAN;tr|H0Y8C6|H0Y8C6_HUMAN	sp|O00410|IPO5_HUMAN;tr|H0Y8C6|H0Y8C6_HUMAN	1;1	1;1	1;1	sp|O00410|IPO5_HUMAN Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4;tr|H0Y8C6|H0Y8C6_HUMAN Importin-5 (Fragment) OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=1	2	1	1	1	1.5	1.5	1.5	123.63	1097	1097;1099	0	12.105	1948300	2				54	5473	TRUE	5596	6767	8370;8371	8370			-1;-1	10.5	11.8	13.3	15.2	15.2	17.3	15.5	17.3	17.3
tr|G8JLD5|G8JLD5_HUMAN;sp|O00429|DNM1L_HUMAN;tr|F8VZ52|F8VZ52_HUMAN;tr|B4DDQ3|B4DDQ3_HUMAN;tr|F8VR28|F8VR28_HUMAN;tr|F8VYL3|F8VYL3_HUMAN;tr|B4DPZ9|B4DPZ9_HUMAN;tr|F8W1W3|F8W1W3_HUMAN;tr|F8VUJ9|F8VUJ9_HUMAN;tr|H0YHY4|H0YHY4_HUMAN	tr|G8JLD5|G8JLD5_HUMAN;sp|O00429|DNM1L_HUMAN;tr|F8VZ52|F8VZ52_HUMAN	12;12;6;4;3;3;3;3;3;1	12;12;6;4;3;3;3;3;3;1	12;12;6;4;3;3;3;3;3;1	tr|G8JLD5|G8JLD5_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=1;sp|O00429|DNM1L_HUMAN Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2;tr|F8VZ52|F8VZ52_HUMAN Dynamin-1-like protein (Fragment) OS=Homo sapiens OX=960	10	12	12	12	26.4	26.4	26.4	79.621	712	712;736;261;180;97;117;156;168;172;54	0	113.76	100470000	15				55	380;943;1423;2769;2862;3118;3418;4701;4732;5044;5181;5954	True;True;True;True;True;True;True;True;True;True;True;True	385;957;1443;2820;2913;3173;3479;4812;4843;5159;5298;6082	462;1143;1701;1702;3373;3477;3773;4141;5799;5836;6211;6397;7339	554;1400;2070;2071;4163;4295;4656;5115;7159;7160;7203;7653;7654;7886;9071	554;1400;2070;4163;4295;4656;5115;7160;7203;7653;7886;9071			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	15.7	15.7	10.2	15.7	15.7	15.7	15.7	22.9	33.1
sp|O00483|NDUA4_HUMAN	sp|O00483|NDUA4_HUMAN	2	2	2	sp|O00483|NDUA4_HUMAN Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1	1	2	2	2	22.2	22.2	22.2	9.3697	81	81	0	13.619	1157400000	2				56	1527;3826	True;True	1548;3920	1837;4715	2251;5827	2251;5827			-1	33.5	48.1	36.1	43	33.5	43	43	50.6	43
sp|O00487|PSDE_HUMAN;tr|C9JW37|C9JW37_HUMAN	sp|O00487|PSDE_HUMAN;tr|C9JW37|C9JW37_HUMAN	2;1	2;1	2;1	sp|O00487|PSDE_HUMAN 26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1;tr|C9JW37|C9JW37_HUMAN 26S proteasome non-ATPase regulatory subunit 14 (Fragment) OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1	2	2	2	2	19.4	19.4	19.4	34.577	310	310;84	0	12.154	19651000	2				57	2858;5478	True;True	2909;5601	3472;6772	4287;8377	4287;8377			-1;-1	4.8	0	4.8	10.2	10.2	10.2	10.2	25.3	10.2
sp|O00499|BIN1_HUMAN;tr|S4R418|S4R418_HUMAN;tr|A0A0A0MT10|A0A0A0MT10_HUMAN;sp|Q9UBW5|BIN2_HUMAN;tr|A0A087X188|A0A087X188_HUMAN	sp|O00499|BIN1_HUMAN	9;1;1;1;1	9;1;1;1;1	8;0;0;0;0	sp|O00499|BIN1_HUMAN Myc box-dependent-interacting protein 1 OS=Homo sapiens OX=9606 GN=BIN1 PE=1 SV=1	5	9	9	8	23.8	23.8	22.4	64.699	593	593;531;551;565;597	0	67.384	108080000	10				58	115;1254;1959;2029;3295;3297;5405;5433;5686	True;True;True;True;True;True;True;True;True	115;1272;1989;2061;3352;3354;5528;5556;5813	138;1508;2340;2421;3981;3983;6691;6724;7025	168;1835;2890;2989;4920;4921;4923;8272;8316;8691	168;1835;2890;2989;4921;4923;8272;8316;8691			-1;-1;-1;-1;-1	0	0	0	5	5	0	5	5	5
sp|O00519|FAAH1_HUMAN	sp|O00519|FAAH1_HUMAN	1	1	1	sp|O00519|FAAH1_HUMAN Fatty-acid amide hydrolase 1 OS=Homo sapiens OX=9606 GN=FAAH PE=1 SV=2	1	1	1	1	5.4	5.4	5.4	63.065	579	579	0	12.196	10984000	1				59	4610	TRUE	4721	5692	7022	7022			-1	0	0	4	6.2	6.2	2.2	6.2	6.2	10
tr|A0A1B0GTW2|A0A1B0GTW2_HUMAN;tr|A0A1B0GUS3|A0A1B0GUS3_HUMAN;sp|O00555|CAC1A_HUMAN;tr|A0A1B0GU81|A0A1B0GU81_HUMAN;tr|A0A1B0GTN7|A0A1B0GTN7_HUMAN;tr|A0A1C7CYY9|A0A1C7CYY9_HUMAN;tr|A0A087WW63|A0A087WW63_HUMAN;tr|A0A384DVW2|A0A384DVW2_HUMAN;tr|A0A1B0GTI4|A0A1B0GTI4_HUMAN;tr|B5TYJ1|B5TYJ1_HUMAN;tr|A0A1B0GVQ9|A0A1B0GVQ9_HUMAN;tr|A0A1B0GU74|A0A1B0GU74_HUMAN;tr|K7EKF7|K7EKF7_HUMAN;tr|K7EQ95|K7EQ95_HUMAN	tr|A0A1B0GTW2|A0A1B0GTW2_HUMAN;tr|A0A1B0GUS3|A0A1B0GUS3_HUMAN;sp|O00555|CAC1A_HUMAN;tr|A0A1B0GU81|A0A1B0GU81_HUMAN;tr|A0A1B0GTN7|A0A1B0GTN7_HUMAN;tr|A0A1C7CYY9|A0A1C7CYY9_HUMAN;tr|A0A087WW63|A0A087WW63_HUMAN;tr|A0A384DVW2|A0A384DVW2_HUMAN;tr|A0A1B0GTI4|A0A1B0GTI4_HUMAN;tr|B5TYJ1|B5TYJ1_HUMAN;tr|A0A1B0GVQ9|A0A1B0GVQ9_HUMAN;tr|A0A1B0GU74|A0A1B0GU74_HUMAN	3;3;3;3;3;3;3;2;2;2;2;2;1;1	2;2;2;2;2;2;2;1;1;1;1;1;1;1	2;2;2;2;2;2;2;1;1;1;1;1;1;1	tr|A0A1B0GTW2|A0A1B0GTW2_HUMAN Voltage-dependent P/Q-type calcium channel subunit alpha OS=Homo sapiens OX=9606 GN=CACNA1A PE=1 SV=1;tr|A0A1B0GUS3|A0A1B0GUS3_HUMAN Voltage-dependent P/Q-type calcium channel subunit alpha OS=Homo sapiens OX=9606 GN=CACNA1A 	14	3	2	2	2.4	2	2	276.98	2460	2460;2495;2506;2507;2507;2508;2512;2261;2262;2263;2266;2302;881;981	0	20.306	5499200	3				60	4029;4516;5084	True;True;False	4132;4626;5200	4997;5577;6257	6185;6881;6882;7709	6185;6882;7709			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	44.2	45.4	44.2	45.4	50.9	50.9	50.9	50.9	50.9
sp|O00560|SDCB1_HUMAN;tr|G5EA09|G5EA09_HUMAN	sp|O00560|SDCB1_HUMAN;tr|G5EA09|G5EA09_HUMAN	1;1	1;1	1;1	"sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1;tr|G5EA09|G5EA09_HUMAN Syndecan binding protein (Syntenin), isoform CRA_a OS=Homo sapiens OX=9606 GN=SDCBP PE=1 SV=1"	2	1	1	1	7.7	7.7	7.7	32.444	298	298;318	0.00081766	6.7355	3314200	1				61	4477	TRUE	4587	5527	6823	6823			-1;-1	1.5	0	0	0	0	0	1.5	1.5	1.5
